user,identity,review_num,star,Date,comments
Lesley R.,Local Guide,2,5,5 days ago,Today is my Birthday and my parents and I came here for the first time.. we sat in the corner booth and the gentleman Preston serving our table was great! He was very accommodating to my food restrictions and went out of his was to make …
Traveling Chef,Local Guide,25,4,a month ago,Good restaurant for family dinner with excellent food and service.  Try it if you didn't have a chance.
LULU . LIVE,Local Guide,91,5,3 weeks ago,"PF Chang is not very authentic Chinese food but I believe it meets more people’s tastes in US. For me, I’m okay with that too. Today I ordered the wonton soup and Buddha’s feast which I was very satisfied with both. The only thing is what …"
Eric Truong,Local Guide,58,3,a month ago,"Good service, atmosphere and decor. However the food was just okay…"
Ashish Mohapatra,Local Guide,91,4,3 months ago,"The restaurant is at a great location just opposite Westfield UTC. The service is really great, the food is also delicious. We ordered Hot and Sour chicken soup, it was alright. For the main course ordered P.F Chang's spicy chicken with …"
Shimaya Xiong,Local Guide,12,5,a week ago,The food was so delicious and the server we had was very friendly. The wait time was not long. We got seated very quickly. My film would definitely visit again.
Dinesh Thaker,Local Guide,24,4,a month ago,"Great food. Great service. Mia provided courteous service with smile.
My only regret is, I ordered Rising Dragon drink. It was just terrible. It was very tart with no test of lourie, like I ordered $14.00 + tax worth vinegar. Then …"
Thomas Conway,Local Guide,52,4,a week ago,"Had Salmon and Kung Pao. Both were very flavorful, but a little dry.  Service was good"
Serena Fraraccio,Local Guide,37,5,2 weeks ago,"Very Nice location to with colleagues or friends. Parking is taken care of, they have some space in the big parking building of the hotel right next to it. The food is abundant and delicious so ...highly recommended!!!!"
LN Garimella,Local Guide,6,3,4 weeks ago,"Waited 25 minutes over the pickup time accepted by the restaurant. It may be a one-off thing due to how busy they were. However, an acknowledgement or apology might have been nice. The food, as expected, was very good. Would try them again for sure. Hopefully will get my order on time."
Ashleigh Renée,Local Guide,18,5,a month ago,"Friendly staff and very lovely ambiance at this location. One of the managers Brian presented excellent customer service skills, was kind and very helpful with my order today. I am pleased with this restaurant and recommend to my closest friends and family!!"
Michael Adjustor LoGiudice,Local Guide,300,5,a month ago,"Always a nice place to eat. Tasty food served quickly. Sean, our waiter brought put a very cool candle and treat for my birthday celebration. Thank you for making it a special meal."
Kavita Agarwal,Local Guide,25,5,a month ago,"Logan was the best server and enhanced our experience. So lively, caring and good natured. Also funny.
Their Buddha's feast was like none other. Well made with good ingredients. Great option for vegetarians. We also ordered the eggplant and it tastes better with skin on."
Darrell Wynant,Local Guide,221,2,2 months ago,Oh man... the food ruined my stomach. This place has changed! I simply got the orange chicken with white rice. The chicken seemed softer than usual and sort fell apart. I assumed it was because it sat in the container (ordered for pick-up) for about 10 minutes for the drive home. Rough.
Jennifer Melton,Local Guide,31,5,3 weeks ago,"This is a chain restaurant. This one is really nice. We were at the bar, the barmen were friendly, we had a good time"
Sherri Antwine,Local Guide,3,1,a month ago,"I walked in and sat at the bar. No one asked me if I needed or wanted to order anything. After waiting 15 minutes or so. I ask for the Manager. I finally got some service, after ordering a drink. I told the witness little ice.. he actually …"
benita werntz,Local Guide,119,4,a month ago,"Great atmosphere,  great food.  Service a little slow.  Obvious staffing shortage.  Accommodating"
Yvonne Colocho,Local Guide,16,3,2 months ago,"If it wasn't for the bartender Rob this place would of gotten a lower rating he was amazing, and friendly. When we first arrived we as well as couple that just arrived accidentally walked in through the side door (there was no sign saying …"
Iron Will,Local Guide,99,4,5 months ago,We went to the P.F. Chang's in la Jolla. we had a reservation for 8:45 we got there around 8:20 and were seated around 8:25 8:30 so that's a really good thing we didn't have to wait until our time. The server was really energetic and …
Michael Mcfarland,Local Guide,41,3,2 months ago,The server made it an enjoyable experience. The food was delicious. The hostess seemed new at the postion. I was disappointed in the cleanliness of the floor and the windows. However we had a very good meal.
Thomas Oed,Local Guide,70,4,2 months ago,"Excellent food and service! Only reason it isn't 5 stars is that it a tad pricey for what it is, which is not a bad reflection on any of the staff. Everyone is super friendly and helpful!"
Gracie Mena,Local Guide,91,5,5 months ago,My son and I love PF Changs! They changed their Orange Chicken recipe. Too much breading so I asked for plain chicken (no fry). It tasted great! Just a small tweak but still our fave😉🥡 Dessert must have: spring roll banana w pineapple ice cream...🍍🤤💛
Marisankar Poovalingam,Local Guide,156,4,2 years ago,I love Chinese Cuisine a lot and this restaurant serves a number of fine varieties.. Authentic taste of the food would drag you there again.. …
Vivienne Hickey,Local Guide,123,3,2 weeks ago,"Good food, slow service. Waitress was great, but no one else."
Matty Buckets,Local Guide,216,5,a month ago,I had the shrimp and lobster sauce and it was super good. The staff was nice also.
Eduardo Perez,Local Guide,18,1,3 weeks ago,"Waited for about 1hr...they told us it would be about 30mins. Normally that is not a big deal for us, but we were waiting next to the front desk and ppl without reservation that came after us, got it in first. I felt like they were given priority because of the color of our skin, or what we were wearing...never going again ..."
Melissa Marcil,Local Guide,54,1,3 months ago,"Quality of food and service have gone way down , better to eat at a local mom and pop restaurant.  Big chain restaurants after covid killed the high end quality. Sorry to say, I've been going to this one for over 15 years, and a return visit is not in the future."
Dee S,Local Guide,106,4,4 months ago,"Celebrated best friends birthday,  good food & dessert choices.  Nice environment,  we dined outside with lamp warmer.  Parking is tricky,  we parked on the street rest of our party in the parking structure but my friend almost got in a car accident as only one very narrow lane to go up & down."
Thomas Nelson,Local Guide,7,5,3 weeks ago,"Great food, service, and presentation. I left feeling very satisfied!"
Lionette Y,Local Guide,7,1,3 weeks ago,Service was slow we didn't get plates with our appetizer so we used our napkins till the server seen us using napkins. They have a desert displayed but not available like idk who runs this business but they need some more carefully to be pay attention to detail I was there in town for work thank gosh I won't be returning to this place
thomas kim,Local Guide,1,5,2 weeks ago,Excellent Chinese restarant
Wendy Vick,Local Guide,19,5,2 weeks ago,"Delicious food, highly recommend their egg drop soup and ask for wontons!"
Sean Schuster,Local Guide,224,4,2 months ago,Love PF Change.. however to my surprise they have removed their happy hour menu which was awesome.. sooo disappointed
Aydan Schultze,Local Guide,22,5,a month ago,Amazing food and service loved their Duck it was phenomenal so moist and flavorful just like the rest of the food
Kunwar dev Singh,Local Guide,48,5,a year ago,"The place was really nice. The quantity and quality of food was perfect with all the spices and had all the flavors. At the end of meal, I would recommend that you finish it with peach boba Tea."
Alexis L,Local Guide,112,5,3 months ago,Honestly I have had better Chinese food at the local mom and pop shops. I even think Pei Wei is better than PF changs. Well until they took the blazing beef noodles off the menu
Yelena Meyerov,Local Guide,2,1,5 months ago,"We are there on Sunday night. (La Jolla)
We have party of 5.
Food is good. Customer service the worst customer service I ever had. …"
Abdullah Alshalabi,Local Guide,50,4,2 years ago,"You can’t go wrong with P.F Chang’s! Ordered the usual Edamame, Dynamite Shrimp, Mongolian Beef and Chicken Chang’s Special. …"
Maria Escalanti,Local Guide,85,4,a month ago,"Friendly staff, love lettuce wraps, house spicy chicken, citrus spice hot tea 🥢"
Federico Pena,Local Guide,4,5,6 months ago,The place smel like beephy chicen and lik how the waitres bring drink but without any milk for my diabeetees for the good health in my good formal stomek. Thank you mcdonalds for giving me foodd for frees and de frys smel like my my frineds …
Vi San Diego,Local Guide,41,4,4 months ago,"PF Chang's is a high end Chinese restaurant..and of course the food is always delicious. Never had a bad dish here, and wouldn't expect otherwise.  Dishes are a bit pricey for sit down lunch..a good meal for 2 could cost you $100."
Kristina Platonoff,Local Guide,33,4,2 months ago,"They were a bit short staffed tonight, we first got asked to be seated at the bar while we waited ""15 min"" was the quote time...35 min later I had to ask the hostess 2x if our table was ready for my friend and I. They also were out of mint …"
Shashank Bhagat,Local Guide,8,5,a month ago,Best Chinese food I've had in a while. Great ambiance
Fred Soto,Local Guide,41,4,3 months ago,"Menu needs work, we used to go during happy hour amd it was delightful with all of the selection. Some of our family favorites have been pulled from the menu (spicy asparagus, and numerous potsticker arrangements and deals on sake were …"
Eduardo Perez,Local Guide,1,1,4 months ago,La Jolla San Diego location the service was horrible. Spoke with a manager he didn't seem to care at all. Appetizers never showed up had to ask 3 times for straws and silverware. Waited forever for the bill and the our desserts. If your looking for great service and good food I don't recommend this place
CHRISTINE & Jack CROSS,Local Guide,301,5,a month ago,PF changs what more do you need to take best food ever
June Rogers,Local Guide,16,5,5 months ago,I admire this restaurant a lot. there is a great mood. The kitcen is good. the service is efficient and the waiters are courteous. The price is honest. I highly recommend.
Amirali Ghofrani,Local Guide,6,3,a month ago,"The ambience is good, the food however, does not taste good."
Praveen Janarthanan,Local Guide,3,5,2 months ago,Had orders for curbside pickup. The food was sealed in a cover which I felt very safe.
Louise Meats,Local Guide,39,5,3 years ago,"Back over to the US for a visit. Loved P.F.Chang's when I lived here xx years ago - first time I've seen a restaurant however.
Utterly delicious food, polite and engaging staff, and lovely layout. Suitable …"
Scott Wright,Local Guide,157,5,a month ago,Rob at the bar is the best he is awesome I always eat there when he is working
Abigail Guzman,Local Guide,48,5,4 months ago,Reserved a birthday here. Staff and food was great! it was outside with warmers and definitely had a blast. Great suggestions from staff ! foos was 🤤
Vlasta FF,Local Guide,110,4,2 months ago,"Food is excellent, affordable, great ambiance Service and hospitality, mediocre"
carla stokes,Local Guide,46,5,5 months ago,"Food was packaged well. Food was good, as if I was dining in the restaurant. Good experience for curbside.  Thank you PF Changs for a satisfying my craving for crispy honey shrimp."
g stone (Stoney),Local Guide,59,5,a year ago,Singapore Street noodles where awesome outdoor dining available Logan our server was outstanding
Rachael Low,Local Guide,69,5,a year ago,Great service and the waitresses were all smiling and very pleasant. The food of course was fantastic. The drinks were great. We will be back.
Winifred Abidja,Local Guide,45,5,3 weeks ago,LOVED the Chang's Chicken as ALWAYS! Mmmmmm
Leonel Flores Asensio,Local Guide,27,5,3 months ago,What a changed in quality of food and service.  AWESOME !
Diego Hidalgo,Local Guide,48,5,3 days ago,Great place to eat with authentic flavors!
Ray Luo,Local Guide,5,2,a month ago,It was really hard to get hold of our waiter and we had to wait more than 30 mins to get our food only to find out THREE dishes were not what we ordered. Not to mention the food quality was a lot worse compared to before the  pandemic. It was a disaster for my family.
Neil Becerra,Local Guide,3,1,5 months ago,"Bad, bad, bad. I am staying at the Embassy Suites across the parking lot from PF Changs. Ordered a family dinner for take out. The order was placed at 6:32 p.m. and I was told that the order would be ready for pick up in about 30-35 …"
Scott Ellis,Local Guide,197,4,5 months ago,"Super easy website for ordering, and pickup at this location is awesome. They are always on the ball, plenty of parking right in front, really fast."
Lucille Shaw,Local Guide,39,5,a month ago,Love the sweet & sour chicken and asian donuts!
Ali Zamiri,Local Guide,16,2,5 months ago,I decided to come back to PF Chang’s to order takeout after a long time of not dining there. I absolutely regret that decision. The bulgogi lettuce wraps were terrible. Nothing at all like bulgogi and way too saucy.  The egg rolls tasted …
Tim Rieches,Local Guide,48,3,5 months ago,If it wasn't for the lettuce wraps it would have been a completely wasted trip the orange chicken was to spicy for my daughter to eat and more breading then there was chicken
DeWayne M,Local Guide,147,5,4 months ago,First time at this location and the food hit the spot. We were craving chinese food. The lettuce wraps are out fav.
Bill Hurst,Local Guide,43,5,a month ago,Always great. My favorite restaurant.
Kyle Downey,Local Guide,79,5,2 years ago,Wonderful experience at PF Chang's today. Everything we ordered was great in flavor and portions. It is not cheap so be prepared to spend a little. It's completely worth it!
Brian Zuniga,Local Guide,73,3,a year ago,"We had edamame, Mongolian potstickers, shrimp tempura roll, and Mongolian beef. All of it was sub-par. For $70, we could have two tasty meals at the neighborhood Chinese restaurant. This was probably my last visit to PF Chang's. The magic is gone."
Shyla J,Local Guide,77,4,9 months ago,Bartender was lovely!!
Devin Singh,Local Guide,56,5,5 months ago,Great outdoor dining service during Covid. Bartender/waiter did a great job!
Judy Richards Cappello,Local Guide,54,5,9 months ago,We wanted to have some fellowship with our closest friends and family after my dad's funeral. We didn't think it would be possible due to covid19. But Suzie understood our desire and made it happen. This experience at PF Chang's absolutely helped us feel and share the love we all had with my dad.
gak_k09,Local Guide,679,3,3 years ago,"（2017/9/7）【really so-so quality】
some of the Western people could be satisfied with, though Asian cannot in my personal opinion... sorry to say. nice people welcome guests and feel at ease, actually good restaurant though."
Linda Yates,Local Guide,159,5,4 months ago,Happy  buda drink
Stacy Lamar,Local Guide,1,2,a month ago,Don’t eat there !!! Saw employees sneezing and coughing I told politely to a manager there and he said he was going to look into it never saw those employees leave or do nothing about it ! I thought was really disgusting 🤮 never in all the times I gone there saw something so unprofessional and disgusting!!
Robin Games,Local Guide,240,5,a year ago,"I absolutely love P.F Changs. The food is absolutely amazing especially the calimari, green beans and the hot & sour soup. The service is always good if not great and the atmosphere is perfect. Only gripes with P.F Chang's is they try to …"
Laura Topete,Local Guide,3,1,11 months ago,The worst experience my family and I had at this location.   We were in town for labor day weekend and decided to dine at P.F.'s Saturday evening 9/05/2020 it started off with bad service over the phone.  I called sometime before 8:30 p.m. …
David Zimerman,Local Guide,17,3,4 months ago,Food and service were great.  The tables and especially the booths were in poor condition
