user,identity,review_num,star,Date,comments
fonzie flores,Local Guide,14,5,3 weeks ago,The food was great we also had the best waiter name Jeremiah he was really Attentive funny real happy… We talked to the manager about how great he is and that he should train all the staff
Carmen Harris,Local Guide,19,5,a month ago,So delicious! My favorite are the lettuce chicken wraps. However everything we ordered was so delicious. We had a great dinner.
Foodie Pattotie,Local Guide,2,5,3 weeks ago,Omg my family and I were amazed with our service last night our server Vanessa was amazing! She excited us with new menu arrivals which we can't wait to try. During the pandemic we haven't been out and we really missed Pf Chang's the …
Aimee Martinez,Local Guide,194,5,4 weeks ago,"I love this movie theater. I went with my family yesterday and it was kept clean, it was staffed well. The tickets were only $8.50 and we took advantage of the Sunday family meal deal which was only $11 and it included a bucket of popcorn, candy, and two drinks."
mel guerrero,Local Guide,17,5,2 weeks ago,"Bulgogi steak, honey chicken, eggplant."
Jay Bones,Local Guide,40,5,5 months ago,"Today we stopped in as part of a Valentine's Day weekend. We ordered from the Valentine's menu. We each chose our own appetizers, entrees and desserts. The champagne that came with the meal was great. The service was excellent. Our server …"
Jaye Jodianna,Local Guide,173,3,11 months ago,"Hostest at the front was very sweet. Waiters were ok had to wait a while for food and for the check but food good. Bathrooms almost didn't match the indoor dining area which was nice, neat and clean. Bathroom was a bit dirty and just looked unclean."
Michael Fortenberry,Local Guide,454,4,a year ago,"The family and I like to come to this PF Chang‘s in the Otay Ranch area of Chula Vista.  The service is always good, the food is always tasty fresh and delicious.  We especially like that it’s close to the movie theater and lots of shopping areas and different sightseeing venues.  We definitely highly recommend this PF Chang‘s."
Crystal Mitchell,Local Guide,65,5,3 weeks ago,Great service!! We ate outside and even though it was out side the waiter was still very attentive.
Brittney Leshay,Local Guide,4,5,a month ago,This place was nice. The bartender Walter was amazing. I definitely recommend going to this place.
Orlando Bé,Local Guide,49,5,3 weeks ago,"Tastefully-decorated interior, with a serene ambience to match. Excellent food, and the staff is quite skilled, as they are intuitive about food and drinks which could match up a client to their offerings."
Eddie Miller,Local Guide,36,4,4 months ago,I was there to pick up carry out order. They had one person covering the front desk. The team member was trying to find a customers order or find out the status of the order in the kitchen. Waited about 15 minutes before they returned. …
Theodore Brazelton,Local Guide,47,5,a month ago,Wonderful Wonton Appetizer and BBQ Pork Ribs. Salt & Pepper Shrimp was flavorful. Fried Banana & Ice Cream Dessert was a treat.
